day,area,task,est_time_min,done
1,戦略,テーマ/ペルソナ/競合3確認,60,
2,テンプレ,動画/記事テンプレ決定,60,
3,制作,ショート台本3本作成,60,
4,制作,記事アウトライン2本,60,
5,仕上げ,編集プリセット/説明欄テンプレ,60,
6,制作,ショート編集2本,60,
7,公開,初投稿/初記事,60,
8,分析,KPI設定/ダッシュ更新,30,
9,制作,ショート3/記事1,60,
10,制作,ショート3/記事1,60,
11,制作,ショート3/記事1,60,
12,仕上げ,サムネ/内部リンク,60,
13,公開,予約投稿/シェア,60,
14,振返,週次レビュー,30,
15,制作,比較/レビュー記事1,90,
16,制作,ショート3,60,
17,制作,ショート3,60,
18,制作,記事1,60,
19,最適化,CTA/導線見直し,45,
20,公開,投稿/告知,45,
21,振返,週次レビュー,30,
22,制作,ショート3,60,
23,制作,ショート3,60,
24,制作,記事1,60,
25,最適化,タイトル/サムネAB,45,
26,公開,予約/シェア,45,
27,振返,週次レビュー,30,
28,制作,ショート3,60,
29,制作,記事1,60,
30,分析,検索/視聴データ分析,60,
31,制作,収益ページ強化,60,
32,制作,ショート3,60,
33,制作,記事1,60,
34,最適化,内部リンク/スキーマ,45,
35,公開,予約/シェア,45,
36,振返,週次レビュー,30,
37,制作,ショート3,60,
38,制作,記事1,60,
39,分析,伸び筋特定,45,
40,集中,伸び型を倍化,60,
41,公開,予約/シェア,45,
42,振返,週次レビュー,30,
43,制作,ショート3,60,
44,制作,記事1,60,
45,最適化,収益導線チューニング,45,
46,制作,伸び筋量産,60,
47,公開,予約/シェア,45,
48,振返,週次レビュー,30,
49,制作,ショート3,60,
50,制作,記事1,60,
51,分析,KPI達成度確認,30,
52,最適化,改善点の反映,45,
53,公開,予約/シェア,45,
54,振返,週次レビュー,30,
55,制作,ショート3,60,
56,制作,記事1,60,
57,集中,勝ち筋深掘り,60,
58,公開,予約/シェア,45,
59,振返,週次レビュー,30,
60,集計,月次レビュー/次月計画,60,
61,制作,ショート3,60,
62,制作,記事1,60,
63,最適化,ABテスト結果反映,45,
64,公開,予約/シェア,45,
65,振返,週次レビュー,30,
66,制作,ショート3,60,
67,制作,記事1,60,
68,分析,外部露出計画,45,
69,公開,SNS/サロン露出,45,
70,振返,週次レビュー,30,
71,制作,ショート3,60,
72,制作,記事1,60,
73,最適化,導線/LP改善,45,
74,公開,予約/シェア,45,
75,振返,週次レビュー,30,
76,集中,伸び筋集中/捨てる決断,45,
77,制作,ショート3,60,
78,制作,記事1,60,
79,最適化,収益最大化施策,45,
80,公開,予約/シェア,45,
81,振返,週次レビュー,30,
82,制作,ショート3,60,
83,制作,記事1,60,
84,分析,到達見込み試算,45,
85,最適化,月3万円へ微調整,45,
86,公開,予約/シェア,45,
87,振返,週次レビュー,30,
88,集計,月次レビュー/次月計画,60,
89,仕上げ,ポートフォリオ整備,45,
90,宣言,到達報告/所感/次の目標,30,
