id,category,title,variables,prompt
1,video,ショート用タイトル20案,"視聴者;テーマ","{視聴者}向け{テーマ}のYouTubeショートタイトルを20案。数字/ベネフィット/期限性、全角15字以内、箇条書き。"
2,video,冒頭8秒フック改善,台本,"次の台本の冒頭8秒を『驚き→具体数字→利益』で3案。台本=```{台本}```。1案=1行。"
3,video,ショート台本ドラフト,"視聴者;テーマ","30-40秒台本。構成=導入/3テク/締め。視聴者={視聴者}、テーマ={テーマ}、口調=断定、出力=字幕行。"
4,video,ロング台本,"視聴者;テーマ","5-8分。結論/全体像/手順/事例/まとめ。Markdown見出し、各節150-200字。"
5,video,サムネ3語コピー,キーワード,"{キーワード}の動画向け、数字+強動詞+利益の3語コピーを20案。全角8-11字。"
6,video,説明欄テンプレ,テーマ,"{テーマ}動画の説明欄テンプレ。概要/要点/関連/特典/免責。クリック率最適化。"
7,video,Bロール/SE指示,台本,"台本各行に推奨Bロール/効果音/テロップを表で。列=行, Bロール, SE, テロップ。"
8,video,字幕整形,字幕,"字幕の誤字/冗長を修正し1行15-20文字で改行。"
9,video,視聴維持向上,台本,"台本にループ/アンカー/質問を挿入し維持率35%→50%を狙う改稿案を提示。"
10,video,競合分析,URL,"{URL}の共通パターンを抽出。尺/構成/CTA/頻出語を表で。最後に差別化案3。"
11,video,ネタ発掘,テーマ,"{テーマ}の未充足ニーズ20。根拠=検索/コメント/レビュー要約。"
12,video,CTA最適化,目的,"動画の目的={目的}。1CTAに絞り3案。測定指標も。"
13,video,タグ生成,テーマ,"{テーマ}の動画タグを意図別（情報収集/比較/購入）に各5個。"
14,video,投稿カレンダー,テーマ,"4週間の週3本計画。曜日/内容/狙いKPI/備考を表で。"
15,video,配色/フォント,キーワード,"{キーワード}の感情に合う配色/フォント/サイズを提案、理由付き。"
16,blog,ロングテール50,KW,"シード{KW}からロングテール50、検索意図（Know/Do/Buy）で分類し表で。"
17,blog,記事構成テンプレ,テーマ,"{テーマ}の記事。タイトル/導入/見出し/H2-H3/CTAをMarkdownで出力。E-E-A-T注意点も列挙。"
18,blog,導入文3案,"読者;テーマ","{読者}向け{テーマ}。悩み→価値→読むメリット→信頼。200字×3案。"
19,blog,比較表,"指標;製品","指標5×製品5の比較表を作成し、最後に結論と向き/不向きを提示。"
20,blog,体験補強質問,下書き,"下書きに実体験を差し込むための質問20と追記例。"
21,blog,JSON-LD雛形,タイプ,"{タイプ}(FAQ/HowTo/Review)のスキーマJSON-LD雛形を安全に生成、ダブルチェック項目も。"
22,blog,内部リンク案,見出し,"既存見出しから関連記事タイトル20案、クラスター分け。"
23,blog,CTAコピー10,特典,"{特典}への登録/DLを促すCTAコピーを10案。トーン別に。"
24,blog,画像キャプション,見出し,"各見出しの要点を1行キャプション化、表で出力。"
25,blog,要点+メタ,本文,"本文から要点5つと140字のメタディスクリプションを生成。"
26,blog,競合差分,URL一覧,"上位3記事の共通/不足/差別化軸を表で。差分企画を3案。"
27,blog,用語集20,テーマ,"{テーマ}の用語20。定義/例/注意を表で。"
28,blog,可読性チェック,本文,"一文の長さ/箇条書き率/見出し粒度/受動態を診断し改善案。"
29,blog,SEO採点,記事,"タイトル/導入/見出し/本文/まとめを各20点満点で採点、改善指示も。"
30,blog,更新計画90日,記事一覧,"90日分の更新/追記/内部リンク/再投稿計画を表で。"
31,kindle,目次生成,テーマ,"{テーマ}の章7/節21の目次案。重複排除、各節の学習ゴール。"
32,kindle,章ドラフト,章タイトル,"{章タイトル}の各節800-1,000字素案。実例/数字必須。"
33,kindle,図解候補,本文,"本文から図解候補を抽出し、Canvaで描ける形に要約。"
34,kindle,著者インタビュー,テーマ,"体験を引き出す20問のインタビュー項目を作成。"
35,kindle,表紙コピー20,"読者;利益","{読者}向け、利益={利益}の表紙タイトル/サブを20案。数字/期限性込み。"
36,kindle,巻末ワーク,テーマ,"実践を促す巻末ワーク/チェックリストを作成。進捗欄付き。"
37,kindle,発売告知3通,ベネフィット,"発売前/当日/後日のSNS/メルマガ文例を3通。ベネフィット強調。"
38,kindle,KDPチェック,カテゴリ,"カテゴリ/キーワード/価格/プレビュー/目次リンク/著者ページの確認表を出力。"
39,kindle,レビュー依頼,相手,"{相手}へレビューを丁寧に依頼するテンプレ3種（読了/途中/ギフト）。"
40,kindle,KU既読伸長,目次,"目次を最適化し『次章が気になる』構造へ改稿案。"
41,app,アイデア発散,課題,"{課題}の解決案をユーザーストーリー10、前後の代替手段も列挙。"
42,app,MVP定義,目的,"目的={目的}。MoSCoWで機能分類し、1スプリント(2週間)の実装計画。"
43,app,競合差分,領域,"{領域}の代替/料金/UX/差別化をマップ化、勝ち筋を提案。"
44,app,PRD雛形,製品名,"{製品名}のPRDテンプレ。目的/指標/ユーザー/機能/非機能/リスク。"
45,app,LP構成,ベネフィット,"ヒーローコピー/セクション/FAQ/CTAのLP構成を作成。利益={ベネフィット}。"
46,app,課金戦略,価格,"無料/¥{価格}/年額の実験計画、KPIとファネル指標を定義。"
47,app,フィードバック設計,ターゲット,"{ターゲット}向けアンケ10問と行動計測イベント設計。"
48,app,ストア素材,アプリ名,"{アプリ名}のスクショ順序、見出し文、審査注意点のリスト。"
49,app,リリースノート,バージョン,"v{バージョン}の変更点/既知の問題/次回予告を簡潔に。"
50,app,サポート返信,カテゴリ,"{カテゴリ}の問い合わせ5種へ丁寧な返信雛形（謝意→原因→対応→再発防止）。"
